EventId	CarNumber	Timestamp	ClassName	PositionInRun	CurrentLap	LastLapTimeSeconds	LastPitLap	PitStops
27712	95	2021-01-30 22:41:13.7580941	GTO	26	138	113.387	112	6
27712	152	2021-01-30 22:41:11.4582146	GP2	19	199	130.955	193	7
27712	46	2021-01-30 22:41:11.4582146	GP1	15	203	124.374	164	5
27712	134	2021-01-30 22:41:08.0073534	GP1	25	141	122.214	93	7
27712	32	2021-01-30 22:40:55.5963250	GP3	18	200	131.467	164	4
27712	29	2021-01-30 22:40:54.0220426	GTO	1	229	116.519	188	4
27712	9	2021-01-30 22:40:48.1191711	GTO	4	220	183.29	220	6
27712	366	2021-01-30 22:40:45.6342674	GP1	14	204	163.477	196	7
27712	85	2021-01-30 22:40:28.0542795	GP3	17	202	127.883	165	6
27712	77	2021-01-30 22:40:20.5683007	GTO	7	218	123.711	195	7
27712	69	2021-01-30 22:40:05.5004207	GP2	28	122	121.061	96	5
27712	242	2021-01-30 22:40:05.5004207	GTO	23	148	116.668	146	13
27712	110	2021-01-30 22:40:00.5957761	GP1	9	216	122.908	202	5
27712	44	2021-01-30 22:40:00.5957761	GP1	5	219	125.753	204	10
27712	66	2021-01-30 22:40:00.5957761	GP3	13	207	128.126	205	5
27712	58	2021-01-30 22:39:55.5055393	GP1	10	214	122.819	178	5
27712	525	2021-01-30 22:39:53.0266094	GP2	11	208	117.774	198	7
27712	51	2021-01-30 22:39:35.5249009	GP2	6	218	120.394	179	4
27712	511	2021-01-30 22:39:30.7273965	GTO	16	202	117.056	174	7
27712	199	2021-01-30 22:39:30.7273965	GP2	27	124	132.21	108	6
27712	983	2021-01-30 22:39:25.5944516	GTO	3	222	117.681	201	6
27712	982	2021-01-30 22:39:23.0401188	GTO	20	184	121.816	167	9
27712	84	2021-01-30 22:39:23.0401188	GP2	12	207	130.288	171	4
27712	172	2021-01-30 22:39:23.0401188	GTO	8	216	121.752	210	5
27712	95	2021-01-30 22:39:20.5581026	GTO	26	137	119.789	112	6
27712	134	2021-01-30 22:39:05.5197016	GP1	25	140	118.553	93	7
27712	46	2021-01-30 22:39:05.5197016	GP1	15	202	121.469	164	5
27712	152	2021-01-30 22:39:00.6174333	GP2	19	198	132.06	193	7
27712	29	2021-01-30 22:38:58.0544245	GTO	1	228	118.655	188	4
27712	32	2021-01-30 22:38:45.6038565	GP3	18	199	129.959	164	4
27712	85	2021-01-30 22:38:23.1160906	GP3	17	201	133.509	165	6
27712	77	2021-01-30 22:38:20.6624699	GTO	7	217	121.439	195	7
27712	242	2021-01-30 22:38:08.5106027	GTO	23	147	116.384	146	13
27712	366	2021-01-30 22:38:03.0051404	GP1	14	203	125.025	196	7
27712	69	2021-01-30 22:38:03.0051404	GP2	28	121	122.04	96	5
27712	525	2021-01-30 22:37:55.5584793	GP2	11	207	118.001	198	7
27712	44	2021-01-30 22:37:55.5584793	GP1	5	218	122.122	204	10
27712	110	2021-01-30 22:37:55.5584793	GP1	9	215	122.104	202	5
27712	58	2021-01-30 22:37:53.1496879	GP1	10	213	122.288	178	5
27712	66	2021-01-30 22:37:53.1496879	GP3	13	206	138.009	205	5
27712	9	2021-01-30 22:37:45.6150706	GTO	4	219	119.9	180	5
27712	51	2021-01-30 22:37:35.5562580	GP2	6	217	123.945	179	4
27712	511	2021-01-30 22:37:33.1055269	GTO	16	201	120.79	174	7
27712	983	2021-01-30 22:37:28.1641639	GTO	3	221	116.564	201	6
27712	95	2021-01-30 22:37:20.5695744	GTO	26	136	115.269	112	6
27712	982	2021-01-30 22:37:20.5695744	GTO	20	183	122.171	167	9
27712	172	2021-01-30 22:37:20.5695744	GTO	8	215	122.499	210	5
27712	199	2021-01-30 22:37:18.0447728	GP2	27	123	131.946	108	6
27712	84	2021-01-30 22:37:13.8538053	GP2	12	206	128.667	171	4
27712	134	2021-01-30 22:37:08.1050801	GP1	25	139	120.587	93	7
27712	46	2021-01-30 22:37:05.9994248	GP1	15	201	122.966	164	5
27712	29	2021-01-30 22:37:00.9813796	GTO	1	227	117.975	188	4
27712	152	2021-01-30 22:36:48.1629980	GP2	19	197	131.477	193	7
27712	32	2021-01-30 22:36:36.4020748	GP3	18	198	130.716	164	4
27712	77	2021-01-30 22:36:16.1471396	GTO	7	216	123.712	195	7
27712	242	2021-01-30 22:36:14.6385762	GTO	23	146	119.111	146	13
27712	85	2021-01-30 22:36:05.5282480	GP3	17	200	128.309	165	6
27712	69	2021-01-30 22:36:00.5397800	GP2	28	120	121.959	96	5
27712	525	2021-01-30 22:35:58.0660020	GP2	11	206	119.049	198	7
27712	366	2021-01-30 22:35:58.0660020	GP1	14	202	124.446	196	7
27712	44	2021-01-30 22:35:53.0431518	GP1	5	217	121.084	204	10
27712	110	2021-01-30 22:35:53.0431518	GP1	9	214	122.629	202	5
27712	58	2021-01-30 22:35:50.6185517	GP1	10	212	122.874	178	5
27712	9	2021-01-30 22:35:45.6241211	GTO	4	218	119.191	180	5
27712	66	2021-01-30 22:35:35.5696029	GP3	13	205	307.977	205	5
27712	983	2021-01-30 22:35:31.3214791	GTO	3	220	119.149	201	6
27712	511	2021-01-30 22:35:31.3214791	GTO	16	200	119.394	174	7
27712	51	2021-01-30 22:35:31.3214791	GP2	6	216	119.696	179	4
27712	95	2021-01-30 22:35:26.4760487	GTO	26	135	114.995	112	6
27712	982	2021-01-30 22:35:18.0118004	GTO	20	182	124.005	167	9
27712	172	2021-01-30 22:35:18.0118004	GTO	8	214	123.185	210	5
27712	199	2021-01-30 22:35:05.5564098	GP2	27	122	138.686	108	6
27712	134	2021-01-30 22:35:05.5564098	GP1	25	138	117.206	93	7
27712	84	2021-01-30 22:35:03.0300258	GP2	12	205	131.015	171	4
27712	29	2021-01-30 22:35:00.5998968	GTO	2	226	119.362	188	4
27712	46	2021-01-30 22:35:00.5998968	GP1	15	200	125.799	164	5
27712	152	2021-01-30 22:34:38.0609047	GP2	19	196	133.103	193	7
27712	32	2021-01-30 22:34:25.8637057	GP3	18	197	130.867	164	4
27712	242	2021-01-30 22:34:14.2340165	GTO	23	145	131.777	146	13
27712	77	2021-01-30 22:34:14.2340165	GTO	7	215	122.926	195	7
27712	69	2021-01-30 22:34:00.5934542	GP2	29	119	122.713	96	5
27712	525	2021-01-30 22:33:58.0706889	GP2	11	205	121.186	198	7
27712	85	2021-01-30 22:33:58.0706889	GP3	17	199	132.057	165	6
27712	366	2021-01-30 22:33:53.0748592	GP1	14	201	126.065	196	7
27712	44	2021-01-30 22:33:53.0748592	GP1	5	216	120.185	204	10
27712	110	2021-01-30 22:33:50.5886038	GP1	9	213	123.455	202	5
27712	58	2021-01-30 22:33:48.0466309	GP1	10	211	123.144	178	5
27712	9	2021-01-30 22:33:45.6594631	GTO	4	217	118.08	180	5
27712	983	2021-01-30 22:33:33.2823389	GTO	3	219	116.078	201	6
27712	511	2021-01-30 22:33:33.2823389	GTO	16	199	119.125	174	7
27712	51	2021-01-30 22:33:30.5676617	GP2	6	215	119.598	179	4
27712	95	2021-01-30 22:33:30.5676617	GTO	26	134	115.844	112	6
27712	982	2021-01-30 22:33:15.7616121	GTO	20	181	122.041	167	9
27712	172	2021-01-30 22:33:15.7616121	GTO	8	213	121.52	210	5
27712	134	2021-01-30 22:33:11.2208202	GP1	25	137	117.865	93	7
27712	29	2021-01-30 22:33:00.5232552	GTO	2	225	116.318	188	4
27712	46	2021-01-30 22:32:56.4136806	GP1	15	199	123.234	164	5
27712	84	2021-01-30 22:32:53.0615752	GP2	13	204	127.352	171	4
27712	199	2021-01-30 22:32:45.7166581	GP2	27	121	132.007	108	6
27712	152	2021-01-30 22:32:23.0053202	GP2	19	195	130.248	193	7
27712	32	2021-01-30 22:32:13.3703071	GP3	18	196	131.268	164	4
27712	77	2021-01-30 22:32:08.0322687	GTO	7	214	122.729	195	7
